position,positionText,points,wins,constructorId,season,round
5,5,17,0,brm,1968,7
6,6,12,0,cooper-brm,1968,7
7,7,8,0,honda,1968,7
8,8,6,0,matra,1968,7
9,9,6,0,brabham-repco,1968,7
10,10,2,0,mclaren-brm,1968,7
11,11,0,0,cooper-maserati,1968,7
12,12,0,0,brabham-climax,1968,7
13,13,0,0,eagle-weslake,1968,7
14,14,0,0,lds,1968,7
15,15,0,0,cooper-climax,1968,7
1,1,73,2,mclaren,2003,7
2,2,71,3,ferrari,2003,7
3,3,50,1,williams,2003,7
4,4,42,0,renault,2003,7
5,5,11,1,jordan,2003,7
6,6,11,0,bar,2003,7
7,7,8,0,sauber,2003,7
8,8,4,0,jaguar,2003,7
9,9,3,0,toyota,2003,7
10,10,0,0,minardi,2003,7
1,1,26,2,cooper-climax,1959,5
2,2,16,1,ferrari,1959,5
3,3,14,1,brm,1959,5
4,4,3,0,team_lotus,1959,5
5,5,0,0,aston_martin,1959,5
6,6,0,0,cooper-maserati,1959,5
7,7,0,0,maserati,1959,5
8,8,0,0,cooper-borgward,1959,5
9,9,0,0,porsche,1959,5
10,10,0,0,jbw,1959,5
11,11,0,0,vanwall,1959,5
12,12,0,0,fry,1959,5
1,1,102,6,mclaren,1998,10
2,2,90,4,ferrari,1998,10
3,3,32,0,benetton,1998,10
4,4,20,0,williams,1998,10
5,5,5,0,stewart,1998,10
6,6,4,0,arrows,1998,10
7,7,4,0,sauber,1998,10
8,8,3,0,jordan,1998,10
9,9,0,0,minardi,1998,10
10,10,0,0,tyrrell,1998,10
11,11,0,0,prost,1998,10
1,1,76,1,ferrari,2010,3
2,2,66,1,mclaren,2010,3
3,3,61,1,red_bull,2010,3
4,4,44,0,mercedes,2010,3
5,5,30,0,renault,2010,3
6,6,18,0,force_india,2010,3
7,7,6,0,williams,2010,3
8,8,2,0,toro_rosso,2010,3
9,9,0,0,sauber,2010,3
10,10,0,0,lotus_racing,2010,3
11,11,0,0,hrt,2010,3
12,12,0,0,virgin,2010,3
1,1,132,10,mclaren,1988,10
2,2,44,0,ferrari,1988,10
3,3,22,0,benetton,1988,10
4,4,16,0,team_lotus,1988,10
5,5,10,0,arrows,1988,10
6,6,9,0,march,1988,10
7,7,8,0,williams,1988,10
8,8,5,0,tyrrell,1988,10
9,9,3,0,rial,1988,10
10,10,1,0,minardi,1988,10
11,11,0,0,larrousse,1988,10
12,12,0,0,dallara,1988,10
13,13,0,0,coloni,1988,10
14,14,0,0,ligier,1988,10
15,15,0,0,osella,1988,10
16,16,0,0,ags,1988,10
17,17,0,0,eurobrun,1988,10
18,18,0,0,zakspeed,1988,10
1,1,55,5,ferrari,1976,7
2,2,31,1,tyrrell,1976,7
3,3,23,1,mclaren,1976,7
4,4,10,0,ligier,1976,7
5,5,6,0,march,1976,7
6,6,4,0,shadow,1976,7
7,7,4,0,team_lotus,1976,7
8,8,3,0,brabham-alfa_romeo,1976,7
9,9,2,0,penske,1976,7
10,10,2,0,ensign,1976,7
11,11,2,0,surtees,1976,7
12,12,2,0,fittipaldi,1976,7
13,13,1,0,parnelli,1976,7
14,14,0,0,wolf,1976,7
15,15,0,0,boro,1976,7
16,16,0,0,williams,1976,7
17,17,0,0,brabham-ford,1976,7
18,18,0,0,hesketh,1976,7
19,19,0,0,brm,1976,7
1,1,57,4,williams,1980,8
2,2,39,1,ligier,1980,8
3,3,31,1,brabham,1980,8
4,4,23,2,renault,1980,8
5,5,11,0,arrows,1980,8
6,6,10,0,tyrrell,1980,8
7,7,9,0,fittipaldi,1980,8
8,8,7,0,mclaren,1980,8
9,9,6,0,team_lotus,1980,8
10,10,5,0,ferrari,1980,8
11,11,2,0,alfa,1980,8
12,12,0,0,ats,1980,8
13,13,0,0,ensign,1980,8
14,14,0,0,shadow,1980,8
15,15,0,0,osella,1980,8
1,1,19,1,brm,1965,3
2,2,18,2,lotus-climax,1965,3
3,3,12,0,ferrari,1965,3
4,4,8,0,cooper-climax,1965,3
5,5,3,0,brabham-climax,1965,3
6,6,1,0,brabham-brm,1965,3
7,7,1,0,honda,1965,3
8,8,0,0,brabham-ford,1965,3
9,9,0,0,alfa,1965,3
10,10,0,0,lotus-brm,1965,3
11,11,0,0,lds-alfa_romeo,1965,3
12,12,0,0,cooper-ford,1965,3
13,13,0,0,lds-climax,1965,3
14,14,0,0,lotus-ford,1965,3
15,15,0,0,re,1965,3
16,16,0,0,cooper-maserati,1965,3
1,1,36,3,team_lotus,1978,6
2,2,25,1,tyrrell,1978,6
3,3,22,2,ferrari,1978,6
4,4,20,0,brabham,1978,6
5,5,6,0,fittipaldi,1978,6
6,6,6,0,ligier,1978,6
7,7,4,0,wolf,1978,6
8,8,3,0,mclaren,1978,6
9,9,3,0,williams,1978,6
10,10,2,0,shadow,1978,6
11,11,2,0,arrows,1978,6
12,12,0,0,ats,1978,6
13,13,0,0,martini,1978,6
14,14,0,0,renault,1978,6
15,15,0,0,surtees,1978,6
16,16,0,0,ensign,1978,6
17,17,0,0,merzario,1978,6
18,18,0,0,theodore,1978,6
19,19,0,0,hesketh,1978,6
1,1,33,3,tyrrell,1971,5
2,2,28,2,ferrari,1971,5
3,3,12,0,brm,1971,5
4,4,9,0,march-ford,1971,5
5,5,9,0,lotus-ford,1971,5
6,6,8,0,matra,1971,5
7,7,6,0,mclaren,1971,5
8,8,3,0,surtees,1971,5
9,9,0,0,brabham,1971,5
10,10,0,0,march-alfa_romeo,1971,5
11,11,0,0,lotus-pw,1971,5
1,1,9,1,brm,1962,1
2,2,6,0,lotus-climax,1962,1
3,3,4,0,ferrari,1962,1
4,4,2,0,cooper-climax,1962,1
5,5,1,0,porsche,1962,1
6,6,0,0,emeryson,1962,1
7,7,0,0,lola,1962,1
1,1,82,5,ferrari,2004,5
2,2,42,0,renault,2004,5
3,3,32,0,bar,2004,5
4,4,30,0,williams,2004,5
5,5,5,0,mclaren,2004,5
6,6,3,0,sauber,2004,5
7,7,1,0,jaguar,2004,5
8,8,0,0,toyota,2004,5
9,9,0,0,jordan,2004,5
10,10,0,0,minardi,2004,5
1,1,37,1,ferrari,2017,1
2,2,33,0,mercedes,2017,1
3,3,10,0,red_bull,2017,1
4,4,8,0,williams,2017,1
5,5,7,0,force_india,2017,1
6,6,6,0,toro_rosso,2017,1
7,7,0,0,renault,2017,1
8,8,0,0,sauber,2017,1
9,9,0,0,mclaren,2017,1
10,10,0,0,haas,2017,1
1,1,15,1,mclaren,1975,2
2,2,13,1,brabham,1975,2
3,3,7,0,hesketh,1975,2
4,4,6,0,ferrari,1975,2
5,5,2,0,tyrrell,1975,2
6,6,0,0,parnelli,1975,2
7,7,0,0,penske,1975,2
8,8,0,0,team_lotus,1975,2
9,9,0,0,march,1975,2
10,10,0,0,lola,1975,2
11,11,0,0,surtees,1975,2
12,12,0,0,williams,1975,2
13,13,0,0,shadow-ford,1975,2
14,14,0,0,fittipaldi,1975,2
15,15,0,0,brm,1975,2
1,1,39,4,brabham-repco,1966,6
2,2,23,1,ferrari,1966,6
3,3,22,1,brm,1966,6
4,4,17,0,cooper-maserati,1966,6
5,5,7,0,lotus-climax,1966,6
6,6,2,0,eagle-climax,1966,6
7,7,2,0,lotus-brm,1966,6
8,8,1,0,brabham-brm,1966,6
9,9,1,0,mclaren-seren,1966,6
10,10,0,0,brabham-climax,1966,6
11,11,0,0,cooper-ferrari,1966,6
12,12,0,0,mclaren-ford,1966,6
13,13,0,0,shannon,1966,6
1,1,77,4,mclaren,1990,9
2,2,57,4,ferrari,1990,9
3,3,31,0,benetton,1990,9
4,4,30,1,williams,1990,9
5,5,14,0,tyrrell,1990,9
6,6,6,0,leyton,1990,9
7,7,5,0,larrousse,1990,9
8,8,2,0,arrows,1990,9
9,9,2,0,brabham,1990,9
10,10,1,0,team_lotus,1990,9
11,11,0,0,minardi,1990,9
12,12,0,0,onyx,1990,9
13,13,0,0,ligier,1990,9
14,14,0,0,dallara,1990,9
15,15,0,0,osella,1990,9
16,16,0,0,eurobrun,1990,9
17,17,0,0,ags,1990,9
18,18,0,0,coloni,1990,9
19,19,0,0,life,1990,9
1,1,18,1,brawn,2009,1
2,2,11,0,toyota,2009,1
3,3,4,0,renault,2009,1
4,4,3,0,williams,2009,1
5,5,3,0,toro_rosso,2009,1
6,6,0,0,force_india,2009,1
7,7,0,0,bmw_sauber,2009,1
8,8,0,0,red_bull,2009,1
9,9,0,0,ferrari,2009,1
1,1,113,8,mclaren,1989,11
2,2,45,1,williams,1989,11
3,3,38,2,ferrari,1989,11
4,4,19,0,benetton,1989,11
5,5,12,0,arrows,1989,11
6,6,10,0,tyrrell,1989,11
7,7,9,0,team_lotus,1989,11
8,8,8,0,dallara,1989,11
9,9,5,0,brabham,1989,11
10,10,4,0,march,1989,11
11,11,3,0,rial,1989,11
12,12,3,0,ligier,1989,11
13,13,3,0,minardi,1989,11
14,14,2,0,onyx,1989,11
15,15,1,0,ags,1989,11
16,16,0,0,larrousse,1989,11
17,17,0,0,osella,1989,11
18,18,0,0,coloni,1989,11
19,19,0,0,zakspeed,1989,11
20,20,0,0,eurobrun,1989,11
1,1,26,2,ferrari,2000,2
2,2,8,0,benetton,2000,2
3,3,7,0,jordan,2000,2
4,4,7,0,williams,2000,2
5,5,4,0,bar,2000,2
6,6,0,0,arrows,2000,2
7,7,0,0,minardi,2000,2
8,8,0,0,prost,2000,2
1,1,94,5,ferrari,1999,11
2,2,90,5,mclaren,1999,11
3,3,42,1,jordan,1999,11
4,4,22,0,williams,1999,11
5,5,16,0,benetton,1999,11
6,6,14,0,stewart,1999,11
7,7,4,0,sauber,1999,11
8,8,3,0,prost,1999,11
9,9,1,0,arrows,1999,11
10,10,0,0,bar,1999,11
11,11,0,0,minardi,1999,11
1,1,164,2,red_bull,2013,6
2,2,123,2,ferrari,2013,6
3,3,112,1,lotus_f1,2013,6
4,4,109,1,mercedes,2013,6
5,5,44,0,force_india,2013,6
6,6,37,0,mclaren,2013,6
7,7,12,0,toro_rosso,2013,6
8,8,5,0,sauber,2013,6
9,9,0,0,williams,2013,6
10,10,0,0,marussia,2013,6
11,11,0,0,caterham,2013,6
1,1,37,4,lotus-climax,1963,5
2,2,18,1,brm,1963,5
3,3,16,0,cooper-climax,1963,5
4,4,13,0,brabham,1963,5
5,5,13,0,ferrari,1963,5
6,6,3,0,brp,1963,5
7,7,2,0,lotus-brm,1963,5
8,8,1,0,porsche,1963,5
9,9,0,0,lola,1963,5
10,10,0,0,scirocco,1963,5
11,11,0,0,ats,1963,5
12,12,0,0,gilby,1963,5
13,13,0,0,tomaso,1963,5
1,1,9,1,brabham,1970,1
2,2,6,0,mclaren-ford,1970,1
3,3,4,0,march,1970,1
4,4,3,0,matra,1970,1
5,5,2,0,team_lotus,1970,1
6,6,0,0,brm,1970,1
7,7,0,0,ferrari,1970,1
8,8,0,0,tomaso,1970,1
1,1,440,7,red_bull,2012,19
2,2,367,3,ferrari,2012,19
3,3,353,6,mclaren,2012,19
4,4,302,1,lotus_f1,2012,19
5,5,136,1,mercedes,2012,19
6,6,124,0,sauber,2012,19
7,7,99,0,force_india,2012,19
8,8,76,1,williams,2012,19
9,9,22,0,toro_rosso,2012,19
10,10,0,0,marussia,2012,19
11,11,0,0,caterham,2012,19
12,12,0,0,hrt,2012,19
1,1,27,2,ligier,1979,2
2,2,12,0,team_lotus,1979,2
3,3,4,0,mclaren,1979,2
4,4,3,0,tyrrell,1979,2
5,5,3,0,ferrari,1979,2
6,6,1,0,fittipaldi,1979,2
7,7,0,0,arrows,1979,2
8,8,0,0,shadow,1979,2
9,9,0,0,williams,1979,2
10,10,0,0,renault,1979,2
11,11,0,0,ensign,1979,2
12,12,0,0,wolf,1979,2
13,13,0,0,ats,1979,2
14,14,0,0,brabham-alfa_romeo,1979,2
15,15,0,0,merzario,1979,2
1,1,62,5,lotus-ford,1968,12
2,2,49,3,mclaren-ford,1968,12
3,3,45,3,matra-ford,1968,12
4,4,32,1,ferrari,1968,12
5,5,28,0,brm,1968,12
6,6,14,0,honda,1968,12
7,7,14,0,cooper-brm,1968,12
8,8,10,0,brabham-repco,1968,12
9,9,8,0,matra,1968,12
10,10,3,0,mclaren-brm,1968,12
11,11,0,0,cooper-maserati,1968,12
12,12,0,0,eagle-weslake,1968,12
13,13,0,0,lola,1968,12
14,14,0,0,mclaren,1968,12
15,15,0,0,brabham-climax,1968,12
16,16,0,0,lds,1968,12
17,17,0,0,cooper-climax,1968,12
1,1,76,7,team_lotus,1978,12
2,2,40,1,brabham,1978,12
3,3,36,1,tyrrell,1978,12
4,4,35,3,ferrari,1978,12
5,5,16,0,ligier,1978,12
6,6,14,0,wolf,1978,12
7,7,13,0,fittipaldi,1978,12
8,8,12,0,mclaren,1978,12
9,9,8,0,arrows,1978,12
10,10,6,0,shadow,1978,12
11,11,5,0,williams,1978,12
12,12,1,0,surtees,1978,12
13,13,0,0,ats,1978,12
14,14,0,0,martini,1978,12
15,15,0,0,renault,1978,12
16,16,0,0,ensign,1978,12
17,17,0,0,merzario,1978,12
18,18,0,0,theodore,1978,12
19,19,0,0,hesketh,1978,12
1,1,157,4,mercedes,2016,5
2,2,109,0,ferrari,2016,5
3,3,94,1,red_bull,2016,5
4,4,65,0,williams,2016,5
5,5,26,0,toro_rosso,2016,5
6,6,22,0,haas,2016,5
7,7,14,0,force_india,2016,5
8,8,12,0,mclaren,2016,5
9,9,6,0,renault,2016,5
10,10,0,0,sauber,2016,5
11,11,0,0,manor,2016,5
1,1,16,1,renault,2005,1
2,2,8,0,ferrari,2005,1
3,3,7,0,red_bull,2005,1
4,4,4,0,williams,2005,1
5,5,4,0,mclaren,2005,1
6,6,0,0,toyota,2005,1
7,7,0,0,sauber,2005,1
8,8,0,0,jordan,2005,1
9,9,0,0,minardi,2005,1
1,1,12,1,brabham-repco,1967,2
2,2,11,1,cooper-maserati,1967,2
3,3,6,0,lotus-brm,1967,2
4,4,6,0,cooper-climax,1967,2
5,5,4,0,ferrari,1967,2
6,6,4,0,honda,1967,2
7,7,3,0,mclaren-brm,1967,2
8,8,2,0,brabham-climax,1967,2
9,9,1,0,brm,1967,2
10,10,0,0,lds-climax,1967,2
11,11,0,0,lotus-climax,1967,2
12,12,0,0,eagle-climax,1967,2
13,13,0,0,eagle-weslake,1967,2
14,14,0,0,matra,1967,2
1,1,131,7,ferrari,2008,13
2,2,119,5,mclaren,2008,13
3,3,107,1,bmw_sauber,2008,13
4,4,41,0,toyota,2008,13
5,5,36,0,renault,2008,13
6,6,25,0,red_bull,2008,13
7,7,17,0,williams,2008,13
8,8,17,0,toro_rosso,2008,13
9,9,14,0,honda,2008,13
10,10,0,0,force_india,2008,13
11,11,0,0,super_aguri,2008,13
1,1,37,3,mclaren,1974,6
2,2,30,1,ferrari,1974,6
3,3,16,0,tyrrell,1974,6
4,4,13,1,team_lotus,1974,6
5,5,10,1,brabham,1974,6
6,6,10,0,brm,1974,6
7,7,5,0,march,1974,6
8,8,4,0,shadow,1974,6
9,9,3,0,surtees,1974,6
10,10,1,0,iso_marlboro,1974,6
11,11,0,0,lola,1974,6
12,12,0,0,trojan,1974,6
13,13,0,0,hesketh,1974,6
14,14,0,0,ensign,1974,6
15,15,0,0,token,1974,6
16,16,0,0,amon,1974,6
1,1,45,3,mclaren,1982,9
2,2,36,2,brabham,1982,9
3,3,35,2,ferrari,1982,9
4,4,32,0,williams,1982,9
5,5,22,2,renault,1982,9
6,6,17,0,team_lotus,1982,9
7,7,11,0,ligier,1982,9
8,8,10,0,tyrrell,1982,9
9,9,5,0,alfa,1982,9
10,10,4,0,ats,1982,9
11,11,3,0,osella,1982,9
12,12,3,0,arrows,1982,9
13,13,1,0,fittipaldi,1982,9
14,14,0,0,march,1982,9
15,15,0,0,theodore,1982,9
16,16,0,0,toleman,1982,9
17,17,0,0,ensign,1982,9
1,1,375,5,mercedes,2018,13
2,2,360,5,ferrari,2018,13
3,3,238,3,red_bull,2018,13
4,4,82,0,renault,2018,13
5,5,76,0,haas,2018,13
6,6,52,0,mclaren,2018,13
7,7,30,0,toro_rosso,2018,13
8,8,19,0,sauber,2018,13
9,9,18,0,force_india,2018,13
10,10,4,0,williams,2018,13
1,1,55,1,mclaren,2012,2
2,2,42,0,red_bull,2012,2
3,3,35,1,ferrari,2012,2
4,4,30,0,sauber,2012,2
5,5,16,0,lotus_f1,2012,2
6,6,9,0,force_india,2012,2
7,7,8,0,williams,2012,2
8,8,6,0,toro_rosso,2012,2
9,9,1,0,mercedes,2012,2
10,10,0,0,marussia,2012,2
11,11,0,0,caterham,2012,2
12,12,0,0,hrt,2012,2
1,1,60,3,ferrari,2001,6
2,2,42,2,mclaren,2001,6
3,3,18,1,williams,2001,6
4,4,13,0,jordan,2001,6
5,5,12,0,sauber,2001,6
6,6,9,0,bar,2001,6
7,7,1,0,arrows,2001,6
8,8,1,0,benetton,2001,6
9,9,0,0,jaguar,2001,6
10,10,0,0,prost,2001,6
11,11,0,0,minardi,2001,6
1,1,668,12,mercedes,2017,20
2,2,522,5,ferrari,2017,20
3,3,368,3,red_bull,2017,20
4,4,187,0,force_india,2017,20
5,5,83,0,williams,2017,20
6,6,57,0,renault,2017,20
7,7,53,0,toro_rosso,2017,20
8,8,47,0,haas,2017,20
9,9,30,0,mclaren,2017,20
10,10,5,0,sauber,2017,20
1,1,63,4,ferrari,2008,5
2,2,44,0,bmw_sauber,2008,5
3,3,42,1,mclaren,2008,5
4,4,13,0,williams,2008,5
5,5,10,0,red_bull,2008,5
6,6,9,0,toyota,2008,5
7,7,9,0,renault,2008,5
8,8,3,0,honda,2008,5
9,9,2,0,toro_rosso,2008,5
10,10,0,0,force_india,2008,5
11,11,0,0,super_aguri,2008,5
1,1,42,3,williams,1996,3
2,2,13,0,benetton,1996,3
3,3,10,0,ferrari,1996,3
4,4,5,0,mclaren,1996,3
5,5,3,0,jordan,1996,3
6,6,3,0,tyrrell,1996,3
7,7,1,0,ligier,1996,3
8,8,1,0,footwork,1996,3
9,9,0,0,sauber,1996,3
10,10,0,0,forti,1996,3
11,11,0,0,minardi,1996,3
1,1,402,8,red_bull,2013,14
2,2,284,2,ferrari,2013,14
3,3,283,3,mercedes,2013,14
4,4,239,1,lotus_f1,2013,14
5,5,81,0,mclaren,2013,14
6,6,62,0,force_india,2013,14
7,7,31,0,sauber,2013,14
8,8,31,0,toro_rosso,2013,14
9,9,1,0,williams,2013,14
10,10,0,0,marussia,2013,14
11,11,0,0,caterham,2013,14
1,1,141,4,williams,2003,14
2,2,137,6,ferrari,2003,14
3,3,120,2,mclaren,2003,14
4,4,79,1,renault,2003,14
5,5,18,0,bar,2003,14
6,6,17,0,jaguar,2003,14
7,7,14,0,toyota,2003,14
8,8,11,1,jordan,2003,14
9,9,9,0,sauber,2003,14
10,10,0,0,minardi,2003,14
1,1,57,3,ferrari,1974,11
2,2,49,3,mclaren,1974,11
3,3,45,2,tyrrell,1974,11
4,4,29,2,team_lotus,1974,11
5,5,15,1,brabham,1974,11
6,6,10,0,brm,1974,11
7,7,7,0,shadow,1974,11
8,8,5,0,march,1974,11
9,9,4,0,hesketh,1974,11
10,10,3,0,surtees,1974,11
11,11,1,0,lola,1974,11
12,12,1,0,iso_marlboro,1974,11
13,13,0,0,trojan,1974,11
14,14,0,0,token,1974,11
15,15,0,0,ensign,1974,11
16,16,0,0,amon,1974,11
17,17,0,0,lyncar,1974,11
18,18,0,0,maki,1974,11
1,1,50,1,ferrari,1985,7
2,2,35,2,team_lotus,1985,7
3,3,29,2,mclaren,1985,7
4,4,23,1,williams,1985,7
5,5,13,0,renault,1985,7
6,6,10,1,brabham,1985,7
7,7,6,0,arrows,1985,7
8,8,5,0,ligier,1985,7
9,9,4,0,tyrrell,1985,7
10,10,0,0,alfa,1985,7
11,11,0,0,ram,1985,7
12,12,0,0,osella,1985,7
13,13,0,0,zakspeed,1985,7
14,14,0,0,toleman,1985,7
15,15,0,0,minardi,1985,7
16,16,0,0,spirit,1985,7
1,1,52,4,team_lotus,1973,8
2,2,51,3,tyrrell,1973,8
3,3,26,1,mclaren,1973,8
4,4,12,0,ferrari,1973,8
5,5,11,0,brabham,1973,8
6,6,5,0,shadow,1973,8
7,7,5,0,brm,1973,8
8,8,1,0,march,1973,8
9,9,1,0,tecno,1973,8
10,10,0,0,iso_marlboro,1973,8
11,11,0,0,surtees,1973,8
12,12,0,0,ensign,1973,8
1,1,130,9,williams,1986,14
2,2,81,3,mclaren,1986,14
3,3,53,2,team_lotus,1986,14
4,4,33,0,ferrari,1986,14
5,5,28,0,ligier,1986,14
6,6,10,0,benetton,1986,14
7,7,6,0,lola,1986,14
8,8,6,0,tyrrell,1986,14
9,9,2,0,brabham,1986,14
10,10,1,0,arrows,1986,14
11,11,0,0,zakspeed,1986,14
12,12,0,0,osella,1986,14
13,13,0,0,minardi,1986,14
14,14,0,0,ags,1986,14
1,1,106,6,renault,2006,8
2,2,75,2,ferrari,2006,8
3,3,59,0,mclaren,2006,8
4,4,29,0,honda,2006,8
5,5,17,0,bmw_sauber,2006,8
6,6,10,0,williams,2006,8
